,Station Name,Station Latitude,Station Longitude,Business Category,Business Name,Rating,Number of Reviews,Address,Contact,Available Bikes,Empty Slots,Number of Bikes
0,W 100 St & Manhattan Ave,40.795,-73.9645,Bars,The Calaveras,4.5,231,949 Columbus Ave,(646) 484-6533,33,0,33
1,W 100 St & Manhattan Ave,40.795,-73.9645,Comfort Food,Jacob's Pickles,4.0,5409,509 Amsterdam Ave,(212) 470-5566,33,0,33
2,W 100 St & Manhattan Ave,40.795,-73.9645,Sardinian,Arco Cafe,4.5,353,886 Amsterdam Ave,(646) 781-9080,33,0,33
3,W 100 St & Manhattan Ave,40.795,-73.9645,Burgers,Bareburger - Upper West Side,3.5,393,795 Columbus Ave,(646) 559-2986,33,0,33
4,W 100 St & Manhattan Ave,40.795,-73.9645,French,Amelie,4.5,296,566 Amsterdam Ave,(646) 422-7167,33,0,33
5,W 100 St & Manhattan Ave,40.795,-73.9645,Vietnamese,Saiguette,4.5,729,935 Columbus Ave,(212) 866-6888,33,0,33
6,W 100 St & Manhattan Ave,40.795,-73.9645,Noodles,The Tang - Upper West Side,4.5,302,920 Amsterdam Ave,(646) 596-7970,33,0,33
7,W 100 St & Manhattan Ave,40.795,-73.9645,Cocktail Bars,Nobody Told Me,4.5,237,951 Amsterdam Ave,(646) 596-7970,33,0,33
8,W 100 St & Manhattan Ave,40.795,-73.9645,Southern,Melba's Restaurant,4.0,1755,300 W 114th St,(212) 864-7777,33,0,33
9,W 100 St & Manhattan Ave,40.795,-73.9645,Mexican,Taqueria 86,4.5,111,210 W 94th St,(917) 675-7727,33,0,33
10,W 100 St & Manhattan Ave,40.795,-73.9645,Japanese,Sushi W,4.5,170,2673 Broadway,(917) 318-9739,33,0,33
11,W 100 St & Manhattan Ave,40.795,-73.9645,Italian,Osteria 106,4.5,209,53 W 106 St,(646) 833-7614,33,0,33
12,W 100 St & Manhattan Ave,40.795,-73.9645,Bars,e's BAR,4.0,394,511 Amsterdam Ave,(212) 877-0961,33,0,33
13,W 100 St & Manhattan Ave,40.795,-73.9645,Italian,Lucciola Italian Restaurant,4.5,98,621 Amsterdam Ave,(347) 536-1335,33,0,33
14,W 100 St & Manhattan Ave,40.795,-73.9645,Italian,Fumo- Upper West Side,4.0,241,2791 Broadway,(646) 822-2921,33,0,33
15,W 100 St & Manhattan Ave,40.795,-73.9645,Breakfast & Brunch,The Grand Feast,5.0,22,854 Amsterdam Ave,(917) 409-0772,33,0,33
16,W 100 St & Manhattan Ave,40.795,-73.9645,Ethiopian,Awash Ethiopian Restaurant,4.0,532,947 Amsterdam Ave,(212) 961-1416,33,0,33
17,W 100 St & Manhattan Ave,40.795,-73.9645,Tapas Bars,Buceo 95,4.0,481,201 W 95th St,(212) 662-7010,33,0,33
18,W 100 St & Manhattan Ave,40.795,-73.9645,Wine Bars,Ortomare Ristorante Pizzeria,4.5,142,994 Columbus Ave,(212) 665-2970,33,0,33
19,W 100 St & Manhattan Ave,40.795,-73.9645,Vietnamese,Banh,4.5,223,942 Amsterdam Ave,(917) 639-3151,33,0,33
20,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Cocktail Bars,Tanner Smiths,4.5,2041,204 W 55th St,(646) 590-2034,5,64,69
21,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,La Grande Boucherie,4.5,2452,145 W 53rd St,(212) 510-7714,5,64,69
22,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Cocktail Bars,Vida Verde,4.5,1578,248 W 55th St,(646) 657-0565,5,64,69
23,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Burgers,Carnegie Diner,4.0,473,205 W 57th St,(212) 664-1001,5,64,69
24,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Italian,Trattoria Dell'Arte,4.0,1200,900 7th Ave,(212) 245-9800,5,64,69
25,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Indian,Bengal Tiger Indian Food,4.5,2313,58 W 56th St,(212) 265-2703,5,64,69
26,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Pizza,Angelo's Coal Oven Pizzeria,4.0,1193,117 W 57th St,(212) 333-4333,5,64,69
27,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Greek,Loi Estiatorio,4.5,457,132 W 58th St,(212) 713-0015,5,64,69
28,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Steakhouses,Tuscany Steakhouse,4.5,233,117 W 58th St,(212) 757-8630,5,64,69
29,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,American (New),Momofuku Noodle Bar - Uptown,4.0,585,10 Columbus Cir,(212) 757-8630,5,64,69
30,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,Le Bernardin,4.5,2917,155 W 51st St,(212) 554-1515,5,64,69
31,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,American (New),Robert,4.0,1044,2 Columbus Cir,(212) 299-7730,5,64,69
32,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Szechuan,Blue Willow 夜来湘,4.5,949,40 W 56th St,(212) 213-2299,5,64,69
33,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Italian,Marea,4.0,2350,240 Central Park S,(212) 582-5100,5,64,69
34,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,Quality Bistro,4.0,333,120 W 55th St,(212) 433-3330,5,64,69
35,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Greek,Souvlaki GR Midtown ,4.0,796,162 W 56th St,(212) 974-7482,5,64,69
36,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,Jean-Georges,4.0,2005,1 Central Park W,(212) 299-3900,5,64,69
37,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Seafood,Ocean Prime,4.5,798,123 W 52nd St,(212) 956-1404,5,64,69
38,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,American (New),Haswell Green's,4.5,531,240 W 52nd St,(212) 245-2801,5,64,69
39,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Asian Fusion,wagamama - midtown,4.5,327,100 W 55th St,(332) 900-6111,5,64,69
40,Bedford Ave & Bergen St,40.676368,-73.952918,Gastropubs,Sweet Brooklyn Bar And Grill,4.0,507,608 Nostrand Ave,(347) 425-0111,4,14,18
41,Bedford Ave & Bergen St,40.676368,-73.952918,Seafood,The Crabby Shack,4.0,786,613 Franklin Ave,(718) 484-1507,4,14,18
42,Bedford Ave & Bergen St,40.676368,-73.952918,Caribbean,Savvy Bistro & Bar,4.0,263,710 Nostrand Ave,(347) 533-7880,4,14,18
43,Bedford Ave & Bergen St,40.676368,-73.952918,American (New),Mayfield,4.0,614,688 Franklin Ave,(347) 318-3643,4,14,18
44,Bedford Ave & Bergen St,40.676368,-73.952918,French,Cafe Rue Dix,4.0,438,1451 Bedford Ave,(929) 234-2543,4,14,18
