,Station Name,Average Rating,Average Reviews,Number of Bikes
0,1 Ave & E 110 St,4.35,302.45,24
1,1 Ave & E 30 St,4.325,1028.95,33
2,1 Ave & E 62 St,4.25,687.3,34
3,1 Ave & E 68 St,4.3,863.7,51
4,1 Ave & E 94 St,4.175,496.2,38
5,10 Ave & W 28 St,4.15,485.8,61
6,10 St & 2 Ave,4.35,483.5,17
7,10 St & 5 Ave,4.375,308.05,20
8,10 St & 7 Ave,4.35,320.6,21
9,11 Ave & W 27 St,4.175,516.25,38
10,11 Ave & W 41 St,4.275,1061.65,47
11,11 Ave & W 59 St,4.325,1137.85,17
12,12 Ave & W 40 St,4.15,854.85,68
13,14 St & 5 Ave,4.325,328.0,17
14,19 St & 24 Ave,4.35,336.6,22
15,2 Ave & 36 St,4.125,133.55,39
16,2 Ave & E 104 St,4.25,357.6,31
17,2 Ave & E 31 St,4.35,1259.35,53
18,2 Ave & E 72 St,4.375,968.7,44
19,2 Ave & E 96 St,4.1,515.15,37
20,21 St & 31 Dr,4.3,508.1,17
21,21 St & 36 Ave,4.25,379.2,19
22,21 St & 38 Ave,4.35,323.1,18
23,21 St & 43 Ave,4.3,512.1,26
24,21 St & Queens Plaza North,4.3,304.7,31
25,23 Ave & 27 St,4.225,540.75,20
26,24 Ave & 29 St,4.225,571.25,41
27,27 St & Hunter St,4.225,303.45,28
28,28 Ave & 35 St,4.175,837.2,26
29,28 St & 36 Ave,4.3,475.6,28
30,28 St & 41 Ave,4.25,288.75,22
31,3 Ave & Carroll St,4.3,455.5,16
32,3 Ave & E 100 St,4.275,342.8,24
33,3 Ave & E 112 St,4.3,297.9,19
34,3 Ave & E 62 St,4.15,1181.95,43
35,3 Ave & E 71 St,4.375,984.85,34
36,3 Ave & Schermerhorn St,4.3,321.55,28
37,3 St & 3 Ave,4.25,566.65,78
38,3 St & 7 Ave,4.225,390.8,24
39,3 St & Hoyt St,4.35,439.75,50
40,3 St & Prospect Park West,4.3,439.5,28
41,30 Ave & 21 St,4.375,420.0,14
42,31 Ave & 14 St,4.35,483.5,18
43,31 Ave & 34 St,4.225,866.55,19
44,31 Ave & Crescent St,4.275,533.15,16
45,31 St & Broadway,4.275,486.05,34
46,31 St & Hoyt Ave N,4.2,621.35,34
47,31 St & Newtown Ave,4.225,694.6,36
48,31 St & Northern Blvd,4.275,390.7,33
49,34 Ave & 13 St,4.3,437.55,16
50,34 Ave & 21 St,4.225,449.95,23
51,34 Ave & 38 St,4.175,383.15,31
52,34 St & 35 Ave,4.25,415.0,17
53,35 Ave & 10 St,4.225,235.25,26
54,35 Ave & 37 St,4.15,429.65,29
55,35 St & 34 Ave,4.275,434.6,23
56,35 St & Broadway,4.35,535.4,16
57,36 Ave & 10 St,4.15,268.0,18
58,36 Ave & 31 St,4.275,462.75,25
59,37 Ave & 35 St,4.3,406.35,24
60,37 St & 24 Ave,4.275,638.65,17
61,40 Ave & Crescent St,4.225,323.55,21
62,44 Dr & Jackson Ave,4.2,282.4,31
63,45 Rd & 11 St,4.3,574.65,21
64,46 Ave & 5 St,4.125,704.15,39
65,47 Ave & 31 St,4.275,286.4,25
66,47 Ave & Skillman Ave,4.325,297.3,19
67,48 Ave & 5 St,4.2,733.15,78
68,49 Ave & 21 St,4.275,584.8,20
69,5 Ave & 3 St,4.125,438.0,26
70,5 Ave & E 103 St,4.35,269.2,34
71,5 Ave & E 72 St,4.275,931.95,23
72,5 Ave & E 78 St,4.25,1035.3,42
73,5 Corners Library,4.05,261.9,17
74,5 St & 51 Ave,4.175,657.3,20
75,5 St & 6 Ave,4.3,360.0,20
76,6 Ave & 12 St,4.325,317.8,24
77,6 Ave & 9 St,4.4,294.65,21
78,6 Ave & Canal St,4.2,877.8,72
79,6 Ave & W 33 St,4.225,1556.85,59
80,7 Ave & Central Park South,4.275,1228.75,69
81,7 Ave & Park Pl,4.075,526.6,23
82,7 St & 3 Ave,4.225,458.25,19
83,7 St & 5 Ave,4.35,318.55,22
84,8 Ave & W 31 St,4.3,1112.0,87
85,9 Ave & W 22 St,4.225,800.35,48
86,Adam Clayton Powell Blvd & W 118 St,4.2,557.4,20
87,Adam Clayton Powell Blvd & W 123 St,4.1,683.3,27
88,Adelphi St & Myrtle Ave,4.225,453.05,26
89,Albany Ave & Fulton St,4.225,325.35,25
90,Allen St & Rivington St,4.375,656.5,33
91,Allen St & Stanton St,4.225,1494.4,44
92,Amsterdam Ave & W 125 St,4.075,594.55,37
93,Amsterdam Ave & W 66 St,4.05,901.8,18
94,Amsterdam Ave & W 73 St,4.1,1408.2,44
95,Astor Place,4.4,173.85,14
96,Astoria Park S & Shore Blvd,4.325,316.95,30
97,Atlantic Ave & Fort Greene Pl,4.175,405.1,58
