,Station Name,Station Latitude,Station Longitude,Business Category,Business Name,Rating,Number of Reviews,Address,Contact
0,W 100 St & Manhattan Ave,40.795,-73.9645,Bars,The Calaveras,4.5,231,949 Columbus Ave,(646) 484-6533
1,W 100 St & Manhattan Ave,40.795,-73.9645,Comfort Food,Jacob's Pickles,4.0,5409,509 Amsterdam Ave,(212) 470-5566
2,W 100 St & Manhattan Ave,40.795,-73.9645,Sardinian,Arco Cafe,4.5,353,886 Amsterdam Ave,(646) 781-9080
3,W 100 St & Manhattan Ave,40.795,-73.9645,Burgers,Bareburger - Upper West Side,3.5,393,795 Columbus Ave,(646) 559-2986
4,W 100 St & Manhattan Ave,40.795,-73.9645,French,Amelie,4.5,296,566 Amsterdam Ave,(646) 422-7167
5,W 100 St & Manhattan Ave,40.795,-73.9645,Vietnamese,Saiguette,4.5,729,935 Columbus Ave,(212) 866-6888
6,W 100 St & Manhattan Ave,40.795,-73.9645,Noodles,The Tang - Upper West Side,4.5,302,920 Amsterdam Ave,(646) 596-7970
7,W 100 St & Manhattan Ave,40.795,-73.9645,Cocktail Bars,Nobody Told Me,4.5,237,951 Amsterdam Ave,(646) 596-7970
8,W 100 St & Manhattan Ave,40.795,-73.9645,Southern,Melba's Restaurant,4.0,1755,300 W 114th St,(212) 864-7777
9,W 100 St & Manhattan Ave,40.795,-73.9645,Mexican,Taqueria 86,4.5,111,210 W 94th St,(917) 675-7727
10,W 100 St & Manhattan Ave,40.795,-73.9645,Japanese,Sushi W,4.5,170,2673 Broadway,(917) 318-9739
11,W 100 St & Manhattan Ave,40.795,-73.9645,Italian,Osteria 106,4.5,209,53 W 106 St,(646) 833-7614
12,W 100 St & Manhattan Ave,40.795,-73.9645,Bars,e's BAR,4.0,394,511 Amsterdam Ave,(212) 877-0961
13,W 100 St & Manhattan Ave,40.795,-73.9645,Italian,Lucciola Italian Restaurant,4.5,98,621 Amsterdam Ave,(347) 536-1335
14,W 100 St & Manhattan Ave,40.795,-73.9645,Italian,Fumo- Upper West Side,4.0,241,2791 Broadway,(646) 822-2921
15,W 100 St & Manhattan Ave,40.795,-73.9645,Breakfast & Brunch,The Grand Feast,5.0,22,854 Amsterdam Ave,(917) 409-0772
16,W 100 St & Manhattan Ave,40.795,-73.9645,Ethiopian,Awash Ethiopian Restaurant,4.0,532,947 Amsterdam Ave,(212) 961-1416
17,W 100 St & Manhattan Ave,40.795,-73.9645,Tapas Bars,Buceo 95,4.0,481,201 W 95th St,(212) 662-7010
18,W 100 St & Manhattan Ave,40.795,-73.9645,Wine Bars,Ortomare Ristorante Pizzeria,4.5,142,994 Columbus Ave,(212) 665-2970
19,W 100 St & Manhattan Ave,40.795,-73.9645,Vietnamese,Banh,4.5,223,942 Amsterdam Ave,(917) 639-3151
20,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Cocktail Bars,Tanner Smiths,4.5,2041,204 W 55th St,(646) 590-2034
21,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,French,La Grande Boucherie,4.5,2452,145 W 53rd St,(212) 510-7714
22,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Cocktail Bars,Vida Verde,4.5,1578,248 W 55th St,(646) 657-0565
23,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Burgers,Carnegie Diner,4.0,473,205 W 57th St,(212) 664-1001
24,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Italian,Trattoria Dell'Arte,4.0,1200,900 7th Ave,(212) 245-9800
25,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,Indian,Bengal Tiger Indian Food,4.5,2313,58 W 56th St,(212) 265-2703
